trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.7, 'e': 0.23053581831852593}",20,0,-32.4642844409806,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
147,False,"{'a': 0.7, 'e': 0.22823046013534068}",25,0,-79.47601225248357,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
148,False,"{'a': 0.7, 'e': 0.22594815553398728}",30,20,4.124844507569559,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.2236886739786474}",20,0,17.638907352402583,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.7, 'e': 0.22145178723886091}",25,10,4.596651616463187,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.2192372693664723}",20,2,28.869968286545085,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.21704489667280757}",20,6,-81.60761893793587,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
153,False,"{'a': 0.7, 'e': 0.2148744477060795}",25,4,-5.31646835116349,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.7, 'e': 0.2127257032290187}",25,14,21.431324992897288,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.21059844619672852}",20,8,24.807052861728344,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.20849246173476124}",20,10,12.80331489268198,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.2064075371174136}",20,6,25.32275757217812,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 0.2043434617462395}",35,15,-7.962409914087664,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.7, 'e': 0.2023000271287771}",25,7,21.64566215298206,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.2002770268574893}",30,19,-32.197963819876904,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.7, 'e': 0.19827425658891443}",20,10,12.150334819616578,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.19629151402302528}",25,5,21.184021015858217,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.19432859888279502}",20,0,-111.43527746619093,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
164,False,"{'a': 0.7, 'e': 0.19238531289396707}",20,0,18.958952522211536,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.7, 'e': 0.1904614597650274}",20,0,1.0408885745299994,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.7, 'e': 0.1885568451673771}",20,8,19.85555849514242,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.18667127671570335}",25,8,-50.46907205656533,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
168,False,"{'a': 0.7, 'e': 0.1848045639485463}",25,6,18.863677518773386,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.18295651830906084}",30,18,23.474433712627466,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.18112695312597024}",30,21,16.657803813616706,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.17931568359471053}",25,15,-17.033793530576382,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.17752252675876343}",20,8,-21.067948279824908,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.7, 'e': 0.1757473014911758}",20,10,3.022609344901398,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.173989828476264}",25,17,15.236273597410136,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.1722499301915014}",25,14,8.853703809303797,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.7, 'e': 0.17052743088958636}",20,16,8.268210379708323,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.1688221565806905}",30,0,29.651293865938467,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.7, 'e': 0.1671339350148836}",20,8,18.290269426380995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.16546259566473476}",25,3,-21.956726247340825,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
180,False,"{'a': 0.7, 'e': 0.16380796970808742}",25,16,-25.285717876914134,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.7, 'e': 0.16216989001100654}",20,6,-1.8676364752010743,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.16054819111089647}",25,13,-16.232301529185804,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
183,False,"{'a': 0.7, 'e': 0.1589427091997875}",25,12,-25.488616604629748,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
